Minor,Henrique,Alice,Rebecca,Gretchen
Accuracy,0.975,0.985,0.97,0.975
Balanced Accuracy,0.7398989898989898,0.49747474747474746,0.4898989898989899,0.49242424242424243
Precision,0.2,0.0,0.0,0.0
Recall,0.5,0.0,0.0,0.0
F1 score,0.28571428571428575,0.0,0.0,0.0

Henrique,Minor,Alice,Rebecca,Gretchen
Accuracy,0.975,0.98,0.965,0.97
Balanced Accuracy,0.5974358974358974,0.6,0.5923076923076923,0.5948717948717949
Precision,0.5,1.0,0.25,0.3333333333333333
Recall,0.2,0.2,0.2,0.2
F1 score,0.28571428571428575,0.33333333333333337,0.22222222222222224,0.25

Alice,Minor,Henrique,Rebecca,Gretchen
Accuracy,0.985,0.98,0.985,0.99
Balanced Accuracy,0.4949748743718593,0.9899497487437185,0.992462311557789,0.9949748743718593
Precision,0.0,0.2,0.25,0.3333333333333333
Recall,0.0,1.0,1.0,1.0
F1 score,0.0,0.33333333333333337,0.4,0.5

Rebecca,Minor,Henrique,Alice,Gretchen
Accuracy,0.97,0.965,0.985,0.975
Balanced Accuracy,0.49489795918367346,0.6147959183673469,0.625,0.6198979591836735
Precision,0.0,0.2,1.0,0.3333333333333333
Recall,0.0,0.25,0.25,0.25
F1 score,0.0,0.22222222222222224,0.4,0.28571428571428575

Gretchen,Minor,Henrique,Alice,Rebecca
Accuracy,0.975,0.97,0.99,0.975
Balanced Accuracy,0.4949238578680203,0.6565143824027073,0.6666666666666666,0.6590524534686971
Precision,0.0,0.2,1.0,0.25
Recall,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
F1 score,0.0,0.25,0.5,0.28571428571428575

